AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
18.354946	13.87104	95.61926	4.6800094	39.151085	0.9933051	40.320942	37.249336	22.91954	22.3	2000	3.1279557	3.1289809	0.042068716	0.03442294	-7.3132873	38004.47	38254.492	137787.88	0.21142481	12646.233	201550.69	202.03845	-10.91361	5611.709	13.069831132888794
20.308897	23.078722	144.06693	4.901993	38.843777	0.53074133	40.350277	38.37513	23.197674	22.1	4000	17.42003	17.42052	0.5196814	0.45963168	-18.251148	1.1012177	0.42872465	2.438973	0.36009535	26487.2	422139.9	227.92392	64.48888	5508.618	32.28755497932434
15.054274	8.713527	54.165886	4.551933	39.028732	0.7295533	40.494106	38.320103	19.715687	22.2	6000	42.469593	42.46983	2.449511	2.4291065	-18.618614	2.5079632	0.3377234	3.7004476	1.7216346	26491.732	422212.12	228.51416	62.983673	5376.3296	51.56708550453186
16.347878	12.234767	93.452866	5.5477266	38.50172	0.57653147	39.113895	36.878536	20.936842	21.9	8000	74.305046	74.30569	7.3669014	7.4619637	-17.981115	4.58109	0.5917091	6.5173154	2.7648387	26249.932	418358.4	226.27844	63.68663	5410.364	70.9011619091034
18.68065	14.008039	92.8251	5.199044	38.664074	0.8209425	40.484413	36.92944	22.91954	22.0	10000	142.08244	142.08035	30.183355	30.202856	-18.248976	8.846006	1.8159132	14.002187	4.6360564	26068.297	415463.56	226.22781	63.623768	5322.873	90.37417912483215
38.996372	1.5813993	50.907135	36.818104	38.891502	1.4014009	40.311836	37.038265	22.3	22.2	12000	258.7149	258.71802	108.38776	108.61052	-17.533978	16.17574	1.9152173	20.798817	9.81431	26820.215	427447.4	224.41266	64.531075	1145.5233	111.49762749671936
38.84178	0.8956711	40.56851	36.586082	39.034046	0.7335627	40.392456	38.460575	22.122223	22.3	14000	213.03542	213.0419	61.79893	62.83782	-17.674587	12.13117	3.6998398	19.75276	5.0720844	28034.883	446806.3	221.89206	61.539352	1177.4836	132.55486416816711
38.780865	0.9754264	40.603947	36.708046	39.36041	1.1515177	40.74937	37.073326	22.087912	22.4	16000	67.72315	67.72596	12.644268	13.616309	-17.773355	3.6490705	1.133604	7.3407083	1.8242093	28797.344	458958.2	221.81552	61.154324	1247.7538	152.949960231781
39.048588	0.8563986	40.78489	37.07097	38.569927	0.7661716	40.13937	36.84135	22.211111	22.0	18000	31.958881	31.960424	3.9331236	4.154994	-17.865364	1.7708688	0.24166274	2.5599174	1.2265606	29557.209	471068.56	220.49522	64.02496	1190.6393	172.778728723526
38.488213	0.96673	40.671326	36.77595	39.157948	0.6144492	40.35472	38.447224	21.901098	22.2	20000	25.555647	25.555712	1.8377436	2.0652208	-18.576563	1.3878039	0.10526531	1.8483982	1.0433182	30183.64	481052.25	219.86655	63.32937	1196.8295	192.75486207008362
38.75522	0.9051533	41.93403	36.85637	38.973194	0.962512	40.884274	37.177837	22.032967	22.1	22000	23.710386	23.71032	1.0090709	1.1101745	-18.441608	1.3020627	0.0977399	1.6349196	0.9780537	30571.102	487227.53	220.73859	59.196404	1146.0786	213.81812191009521
